Room No,Name,Roll No,Status
101,Sneha Nair,B23CS2600,occupied
102,,,available
103,Rohit Kapoor,B23CS2602,occupied
104,,,available
105,Arjun Reddy,B23CS2604,occupied
106,Anjali Sharma,B23CS2605,occupied
107,Aarav Mehta,B23CS2606,occupied
108,,,available
109,Aarav Saxena,B23CS2608,occupied
110,Riya Nair,B23CS2609,occupied
111,Divya Jain,B23CS2610,occupied
112,,,available
113,,,available
114,Ravi Thakur,B23CS2613,occupied
115,,,available
116,,,available
117,Ishaan Reddy,B23CS2616,occupied
118,,,available
119,Divya Mehta,B23CS2618,occupied
120,,,available
121,Arjun Aggarwal,B23CS2620,occupied
122,,,available
123,,,available
124,,,available
125,Meera Jain,B23CS2624,occupied
126,,,available
127,Anjali Verma,B23CS2626,occupied
128,,,available
129,,,available
130,Ishaan Thakur,B23CS2629,occupied
131,Aman Saxena,B23CS2630,occupied
132,Arjun Das,B23CS2631,occupied
133,,,available
134,,,available
135,,,available
136,Sneha Kapoor,B23CS2635,occupied
137,Ishaan Aggarwal,B23CS2636,occupied
138,Shreya Nair,B23CS2637,occupied
139,,,available
140,Rohit Verma,B23CS2639,occupied
141,,,available
142,,,available
143,Sneha Gupta,B23CS2642,occupied
144,,,available
145,Shreya Sharma,B23CS2644,occupied
146,,,available
147,Ishaan Sharma,B23CS2646,occupied
148,Arjun Saxena,B23CS2647,occupied
149,,,available
150,Kabir Das,B23CS2649,occupied
151,,,available
152,Sneha Das,B23CS2651,occupied
153,,,available
154,,,available
155,Divya Chopra,B23CS2654,occupied
156,,,available
157,,,available
158,,,available
159,,,available
160,,,available
161,Anjali Sharma,B23CS2660,occupied
162,,,available
163,Divya Reddy,B23CS2662,occupied
164,Riya Thakur,B23CS2663,occupied
165,,,available
166,Sneha Jain,B23CS2665,occupied
167,Arjun Kumar,B23CS2666,occupied
168,,,available
169,Aman Iyer,B23CS2668,occupied
170,,,available
171,Sakshi Verma,B23CS2670,occupied
172,,,available
173,Sneha Kumar,B23CS2672,occupied
174,,,available
175,,,available
176,,,available
177,Sakshi Menon,B23CS2676,occupied
178,Nisha Yadav,B23CS2677,occupied
179,,,available
180,Kabir Gupta,B23CS2679,occupied
181,,,available
182,,,available
183,Kabir Das,B23CS2682,occupied
184,Rahul Kumar,B23CS2683,occupied
185,Kabir Aggarwal,B23CS2684,occupied
186,,,available
187,Meera Gupta,B23CS2686,occupied
188,,,available
189,Rohan Patel,B23CS2688,occupied
190,,,available
191,Priya Aggarwal,B23CS2690,occupied
192,Rohit Singh,B23CS2691,occupied
193,Ravi Menon,B23CS2692,occupied
194,,,available
195,Sneha Saxena,B23CS2694,occupied
196,,,available
197,,,available
198,Divya Singh,B23CS2697,occupied
199,,,available
200,Aarav Kapoor,B23CS2699,occupied
201,Rahul Kumar,B23CS2700,occupied
202,,,available
203,,,available
204,,,available
205,Priya Iyer,B23CS2704,occupied
206,Nisha Verma,B23CS2705,occupied
207,,,available
208,Ravi Menon,B23CS2707,occupied
209,,,available
210,Ishaan Gupta,B23CS2709,occupied
211,Aman Sharma,B23CS2710,occupied
212,Ravi Yadav,B23CS2711,occupied
213,,,available
214,,,available
215,Aman Mehta,B23CS2714,occupied
216,,,available
217,Divya Aggarwal,B23CS2716,occupied
218,Priya Thakur,B23CS2717,occupied
219,,,available
220,,,available
221,,,available
222,Rohit Chopra,B23CS2721,occupied
223,,,available
224,,,available
225,,,available
226,Rahul Patel,B23CS2725,occupied
227,Ishaan Kumar,B23CS2726,occupied
228,,,available
229,Priya Iyer,B23CS2728,occupied
230,,,available
231,,,available
232,Ishaan Aggarwal,B23CS2731,occupied
233,Ishaan Das,B23CS2732,occupied
234,Ravi Singh,B23CS2733,occupied
235,,,available
236,Kabir Kumar,B23CS2735,occupied
237,,,available
238,,,available
239,,,available
240,Vikram Verma,B23CS2739,occupied
241,Aarav Iyer,B23CS2740,occupied
242,,,available
243,Riya Chopra,B23CS2742,occupied
244,,,available
245,,,available
246,,,available
247,,,available
248,,,available
249,,,available
250,,,available
251,Riya Sharma,B23CS2750,occupied
252,,,available
253,Kiran Patel,B23CS2752,occupied
254,Nisha Gupta,B23CS2753,occupied
255,Kabir Patel,B23CS2754,occupied
256,,,available
257,Divya Singh,B23CS2756,occupied
258,Ishaan Saxena,B23CS2757,occupied
259,,,available
260,,,available
261,,,available
262,,,available
263,,,available
264,,,available
265,Riya Reddy,B23CS2764,occupied
266,,,available
267,Rohan Kapoor,B23CS2766,occupied
268,,,available
269,Kabir Kapoor,B23CS2768,occupied
270,,,available
271,,,available
272,,,available
273,Riya Jain,B23CS2772,occupied
274,,,available
275,Ravi Saxena,B23CS2774,occupied
276,,,available
277,Priya Chopra,B23CS2776,occupied
278,,,available
279,,,available
280,,,available
281,Shreya Thakur,B23CS2780,occupied
282,,,available
283,,,available
284,Arjun Singh,B23CS2783,occupied
285,,,available
286,Rohan Menon,B23CS2785,occupied
287,Sakshi Gupta,B23CS2786,occupied
288,Anjali Chopra,B23CS2787,occupied
289,Shreya Verma,B23CS2788,occupied
290,Rahul Mehta,B23CS2789,occupied
291,Nisha Thakur,B23CS2790,occupied
292,Anjali Kumar,B23CS2791,occupied
293,Aarav Reddy,B23CS2792,occupied
294,Vikram Kumar,B23CS2793,occupied
295,,,available
296,,,available
297,,,available
298,Kiran Yadav,B23CS2797,occupied
299,,,available
300,Aman Kumar,B23CS2799,occupied
