Room No,Name,Roll No,Status
101,,,available
102,Kiran Kapoor,B23CS1601,occupied
103,,,available
104,Riya Nambiar,B23CS1603,occupied
105,,,available
106,,,available
107,Kiran Menon,B23CS1606,occupied
108,Arjun Thakur,B23CS1607,occupied
109,Aman Reddy,B23CS1608,occupied
110,,,available
111,,,available
112,Rohit Sharma,B23CS1611,occupied
113,,,available
114,,,available
115,,,available
116,Nisha Verma,B23CS1615,occupied
117,Priya Yadav,B23CS1616,occupied
118,,,available
119,,,available
120,Aman Saxena,B23CS1619,occupied
121,,,available
122,,,available
123,,,available
124,,,available
125,,,available
126,Meera Kumar,B23CS1625,occupied
127,,,available
128,,,available
129,,,available
130,Aarav Mehta,B23CS1629,occupied
131,,,available
132,Riya Aggarwal,B23CS1631,occupied
133,Rahul Thakur,B23CS1632,occupied
134,Sakshi Patel,B23CS1633,occupied
135,Rohan Nair,B23CS1634,occupied
136,Kiran Das,B23CS1635,occupied
137,,,available
138,,,available
139,,,available
140,,,available
141,Arjun Jain,B23CS1640,occupied
142,Rahul Verma,B23CS1641,occupied
143,Vikram Menon,B23CS1642,occupied
144,Shreya Mehta,B23CS1643,occupied
145,Rahul Iyer,B23CS1644,occupied
146,,,available
147,Vikram Gupta,B23CS1646,occupied
148,Kiran Kapoor,B23CS1647,occupied
149,,,available
150,,,available
151,Ishaan Nambiar,B23CS1650,occupied
152,Rahul Thakur,B23CS1651,occupied
153,,,available
154,,,available
155,Vikram Kumar,B23CS1654,occupied
156,Divya Kapoor,B23CS1655,occupied
157,Aarav Das,B23CS1656,occupied
158,Riya Reddy,B23CS1657,occupied
159,Sakshi Thakur,B23CS1658,occupied
160,Nisha Saxena,B23CS1659,occupied
161,Aman Kumar,B23CS1660,occupied
162,Sakshi Singh,B23CS1661,occupied
163,Aman Chopra,B23CS1662,occupied
164,,,available
165,,,available
166,,,available
167,Divya Gupta,B23CS1666,occupied
168,Priya Patel,B23CS1667,occupied
169,Nisha Yadav,B23CS1668,occupied
170,Priya Sharma,B23CS1669,occupied
171,,,available
172,,,available
173,,,available
174,Riya Jain,B23CS1673,occupied
175,Ravi Singh,B23CS1674,occupied
176,,,available
177,,,available
178,Arjun Chopra,B23CS1677,occupied
179,Priya Menon,B23CS1678,occupied
180,Arjun Gupta,B23CS1679,occupied
181,,,available
182,,,available
183,Rohan Chopra,B23CS1682,occupied
184,Anjali Menon,B23CS1683,occupied
185,,,available
186,Ishaan Nair,B23CS1685,occupied
187,Aman Gupta,B23CS1686,occupied
188,,,available
189,,,available
190,Ishaan Kapoor,B23CS1689,occupied
191,,,available
192,Rohit Reddy,B23CS1691,occupied
193,,,available
194,,,available
195,,,available
196,Meera Nambiar,B23CS1695,occupied
197,Kabir Mehta,B23CS1696,occupied
198,Anjali Nambiar,B23CS1697,occupied
199,,,available
200,,,available
201,Ravi Mehta,B23CS1700,occupied
202,,,available
203,Kiran Thakur,B23CS1702,occupied
204,Meera Aggarwal,B23CS1703,occupied
205,,,available
206,,,available
207,Riya Reddy,B23CS1706,occupied
208,Sakshi Chopra,B23CS1707,occupied
209,,,available
210,Sneha Chopra,B23CS1709,occupied
211,Anjali Yadav,B23CS1710,occupied
212,,,available
213,Shreya Mehta,B23CS1712,occupied
214,Riya Kumar,B23CS1713,occupied
215,Nisha Das,B23CS1714,occupied
216,,,available
217,Rohit Chopra,B23CS1716,occupied
218,,,available
219,,,available
