Room No,Name,Roll No,Status
101,Sakshi Reddy,B23CS2400,occupied
102,Vikram Singh,B23CS2401,occupied
103,Arjun Verma,B23CS2402,occupied
104,,,available
105,,,available
106,Rohan Singh,B23CS2405,occupied
107,Aarav Nair,B23CS2406,occupied
108,,,available
109,,,available
110,Divya Jain,B23CS2409,occupied
111,Ishaan Verma,B23CS2410,occupied
112,Shreya Singh,B23CS2411,occupied
113,Rohit Chopra,B23CS2412,occupied
114,,,available
115,Divya Reddy,B23CS2414,occupied
116,Rohit Nambiar,B23CS2415,occupied
117,Divya Iyer,B23CS2416,occupied
118,,,available
119,Aman Singh,B23CS2418,occupied
120,Anjali Thakur,B23CS2419,occupied
121,Riya Aggarwal,B23CS2420,occupied
122,Rohan Gupta,B23CS2421,occupied
123,Aman Verma,B23CS2422,occupied
124,,,available
125,Meera Mehta,B23CS2424,occupied
126,,,available
127,Aarav Mehta,B23CS2426,occupied
128,Sakshi Chopra,B23CS2427,occupied
129,,,available
130,Sakshi Nair,B23CS2429,occupied
131,,,available
132,Ravi Nair,B23CS2431,occupied
133,,,available
134,,,available
135,,,available
136,Riya Aggarwal,B23CS2435,occupied
137,Kabir Nambiar,B23CS2436,occupied
138,Aman Singh,B23CS2437,occupied
139,,,available
140,,,available
141,Kabir Kapoor,B23CS2440,occupied
142,,,available
143,,,available
144,,,available
145,,,available
146,Rohan Iyer,B23CS2445,occupied
147,Riya Kumar,B23CS2446,occupied
148,Ishaan Jain,B23CS2447,occupied
149,Priya Patel,B23CS2448,occupied
150,Kiran Das,B23CS2449,occupied
151,,,available
152,,,available
153,,,available
154,,,available
155,,,available
156,Aman Das,B23CS2455,occupied
157,Nisha Kumar,B23CS2456,occupied
158,,,available
159,,,available
160,Sneha Sharma,B23CS2459,occupied
161,,,available
162,,,available
163,,,available
164,,,available
165,,,available
166,,,available
167,,,available
168,Vikram Menon,B23CS2467,occupied
169,Aman Jain,B23CS2468,occupied
170,,,available
171,Rahul Patel,B23CS2470,occupied
172,,,available
173,Vikram Das,B23CS2472,occupied
174,Kabir Verma,B23CS2473,occupied
175,Aarav Reddy,B23CS2474,occupied
176,Nisha Verma,B23CS2475,occupied
177,,,available
178,Aman Saxena,B23CS2477,occupied
179,,,available
180,Aman Iyer,B23CS2479,occupied
181,,,available
182,Arjun Sharma,B23CS2481,occupied
183,Ishaan Verma,B23CS2482,occupied
184,,,available
185,Vikram Nair,B23CS2484,occupied
186,,,available
187,,,available
188,Meera Kapoor,B23CS2487,occupied
189,,,available
190,,,available
191,,,available
192,Meera Iyer,B23CS2491,occupied
193,Sakshi Thakur,B23CS2492,occupied
194,Ishaan Iyer,B23CS2493,occupied
195,,,available
196,Ravi Verma,B23CS2495,occupied
197,,,available
198,Anjali Patel,B23CS2497,occupied
199,Meera Sharma,B23CS2498,occupied
200,Nisha Thakur,B23CS2499,occupied
201,,,available
202,Kabir Jain,B23CS2501,occupied
203,Sneha Gupta,B23CS2502,occupied
204,,,available
205,Aarav Patel,B23CS2504,occupied
206,,,available
207,Anjali Kapoor,B23CS2506,occupied
208,Nisha Jain,B23CS2507,occupied
209,,,available
210,Ishaan Kapoor,B23CS2509,occupied
211,Ishaan Patel,B23CS2510,occupied
212,Vikram Chopra,B23CS2511,occupied
213,,,available
214,,,available
215,Kabir Iyer,B23CS2514,occupied
216,,,available
217,Vikram Sharma,B23CS2516,occupied
218,Vikram Iyer,B23CS2517,occupied
219,Divya Jain,B23CS2518,occupied
220,Rohit Patel,B23CS2519,occupied
221,Kabir Iyer,B23CS2520,occupied
222,,,available
223,Aman Sharma,B23CS2522,occupied
224,Riya Kumar,B23CS2523,occupied
225,,,available
226,Priya Menon,B23CS2525,occupied
227,Kabir Sharma,B23CS2526,occupied
228,Divya Thakur,B23CS2527,occupied
229,Anjali Chopra,B23CS2528,occupied
230,Meera Yadav,B23CS2529,occupied
231,,,available
232,,,available
233,,,available
234,Rahul Menon,B23CS2533,occupied
235,Anjali Saxena,B23CS2534,occupied
236,Rohan Iyer,B23CS2535,occupied
237,Riya Saxena,B23CS2536,occupied
238,,,available
239,Rohit Sharma,B23CS2538,occupied
240,,,available
241,Aarav Nambiar,B23CS2540,occupied
242,,,available
243,,,available
244,,,available
245,Kiran Das,B23CS2544,occupied
246,,,available
247,,,available
248,Priya Gupta,B23CS2547,occupied
249,,,available
250,,,available
251,,,available
252,Rohit Yadav,B23CS2551,occupied
253,Nisha Gupta,B23CS2552,occupied
254,,,available
255,,,available
256,Arjun Nambiar,B23CS2555,occupied
257,,,available
258,Sakshi Jain,B23CS2557,occupied
259,,,available
260,,,available
261,Rohit Yadav,B23CS2560,occupied
262,,,available
263,Sakshi Reddy,B23CS2562,occupied
264,Riya Reddy,B23CS2563,occupied
265,,,available
266,Riya Nair,B23CS2565,occupied
267,Kiran Chopra,B23CS2566,occupied
268,Kiran Thakur,B23CS2567,occupied
269,Riya Thakur,B23CS2568,occupied
270,Aarav Verma,B23CS2569,occupied
271,Aarav Iyer,B23CS2570,occupied
272,,,available
273,Sneha Singh,B23CS2572,occupied
274,Kiran Kapoor,B23CS2573,occupied
275,Ravi Chopra,B23CS2574,occupied
276,Ishaan Thakur,B23CS2575,occupied
277,,,available
278,,,available
279,,,available
280,Sakshi Sharma,B23CS2579,occupied
281,,,available
282,Anjali Yadav,B23CS2581,occupied
283,,,available
284,,,available
285,,,available
286,Ravi Menon,B23CS2585,occupied
287,,,available
288,,,available
289,,,available
290,,,available
291,Rahul Iyer,B23CS2590,occupied
292,,,available
293,,,available
294,Riya Chopra,B23CS2593,occupied
295,,,available
296,,,available
297,,,available
298,,,available
299,,,available
300,,,available
