Room No,Name,Roll No,Status
101,,,available
102,Riya Yadav,B23CS3401,occupied
103,,,available
104,,,available
105,,,available
106,Kiran Reddy,B23CS3405,occupied
107,Riya Yadav,B23CS3406,occupied
108,Anjali Patel,B23CS3407,occupied
109,Vikram Iyer,B23CS3408,occupied
110,,,available
111,Kiran Gupta,B23CS3410,occupied
112,Vikram Menon,B23CS3411,occupied
113,Arjun Das,B23CS3412,occupied
114,Aarav Nambiar,B23CS3413,occupied
115,,,available
116,,,available
117,,,available
118,,,available
119,Rahul Saxena,B23CS3418,occupied
120,,,available
121,,,available
122,Kiran Chopra,B23CS3421,occupied
123,,,available
124,Priya Reddy,B23CS3423,occupied
125,Ravi Singh,B23CS3424,occupied
126,Arjun Gupta,B23CS3425,occupied
127,,,available
128,Rohit Menon,B23CS3427,occupied
129,Ishaan Nair,B23CS3428,occupied
130,,,available
131,,,available
132,Vikram Reddy,B23CS3431,occupied
133,,,available
134,Meera Aggarwal,B23CS3433,occupied
135,,,available
136,Rohan Saxena,B23CS3435,occupied
137,Rahul Saxena,B23CS3436,occupied
138,,,available
139,,,available
140,Aarav Kapoor,B23CS3439,occupied
141,,,available
142,,,available
143,Aman Nambiar,B23CS3442,occupied
144,,,available
145,,,available
146,Divya Nambiar,B23CS3445,occupied
147,Sakshi Verma,B23CS3446,occupied
148,,,available
149,Ishaan Yadav,B23CS3448,occupied
150,,,available
151,Shreya Patel,B23CS3450,occupied
152,,,available
153,,,available
154,Aarav Menon,B23CS3453,occupied
155,Vikram Nambiar,B23CS3454,occupied
156,,,available
157,,,available
158,,,available
159,,,available
160,Sakshi Kapoor,B23CS3459,occupied
161,,,available
162,Riya Patel,B23CS3461,occupied
163,,,available
164,Shreya Thakur,B23CS3463,occupied
165,,,available
166,,,available
167,Riya Reddy,B23CS3466,occupied
168,Meera Singh,B23CS3467,occupied
169,,,available
170,Kiran Jain,B23CS3469,occupied
171,,,available
172,,,available
173,,,available
174,,,available
175,Divya Mehta,B23CS3474,occupied
176,,,available
177,Vikram Jain,B23CS3476,occupied
178,Rohit Gupta,B23CS3477,occupied
179,Aarav Patel,B23CS3478,occupied
180,,,available
181,,,available
182,,,available
183,,,available
184,,,available
185,Rohit Sharma,B23CS3484,occupied
186,,,available
187,Ishaan Gupta,B23CS3486,occupied
188,Rohan Nair,B23CS3487,occupied
189,,,available
190,,,available
191,,,available
192,Rohan Verma,B23CS3491,occupied
193,,,available
194,,,available
195,,,available
196,,,available
197,,,available
198,Sakshi Jain,B23CS3497,occupied
199,,,available
200,,,available
201,,,available
202,,,available
203,,,available
204,,,available
205,Sakshi Patel,B23CS3504,occupied
206,Anjali Patel,B23CS3505,occupied
207,,,available
208,Ravi Menon,B23CS3507,occupied
209,Arjun Aggarwal,B23CS3508,occupied
210,,,available
211,,,available
212,,,available
213,,,available
214,,,available
215,,,available
216,Kiran Aggarwal,B23CS3515,occupied
217,,,available
218,,,available
219,,,available
220,Aman Kapoor,B23CS3519,occupied
221,Anjali Chopra,B23CS3520,occupied
222,,,available
223,,,available
224,Rohit Sharma,B23CS3523,occupied
225,,,available
226,,,available
227,,,available
228,Arjun Kapoor,B23CS3527,occupied
229,,,available
230,,,available
231,,,available
232,Nisha Kumar,B23CS3531,occupied
233,,,available
234,,,available
235,,,available
236,,,available
237,Ravi Jain,B23CS3536,occupied
238,,,available
239,,,available
240,,,available
241,,,available
242,,,available
243,Anjali Kumar,B23CS3542,occupied
244,,,available
245,,,available
246,Priya Reddy,B23CS3545,occupied
247,Arjun Gupta,B23CS3546,occupied
248,Arjun Reddy,B23CS3547,occupied
249,Ishaan Saxena,B23CS3548,occupied
250,Ravi Kapoor,B23CS3549,occupied
251,,,available
252,,,available
253,,,available
254,,,available
255,Kiran Nair,B23CS3554,occupied
256,,,available
257,Rahul Reddy,B23CS3556,occupied
258,,,available
259,Aman Verma,B23CS3558,occupied
260,,,available
261,Anjali Chopra,B23CS3560,occupied
262,Priya Sharma,B23CS3561,occupied
263,Rohan Reddy,B23CS3562,occupied
264,Kabir Patel,B23CS3563,occupied
265,Ravi Nair,B23CS3564,occupied
266,Nisha Nair,B23CS3565,occupied
267,Rohan Jain,B23CS3566,occupied
268,,,available
269,Aman Verma,B23CS3568,occupied
270,Rohit Reddy,B23CS3569,occupied
271,,,available
272,Sneha Verma,B23CS3571,occupied
273,,,available
274,,,available
275,,,available
276,,,available
277,,,available
278,,,available
279,Priya Nambiar,B23CS3578,occupied
280,Ravi Das,B23CS3579,occupied
281,Rohan Menon,B23CS3580,occupied
282,Ravi Thakur,B23CS3581,occupied
283,,,available
284,Arjun Thakur,B23CS3583,occupied
285,,,available
286,,,available
287,Priya Nair,B23CS3586,occupied
288,,,available
289,,,available
290,,,available
291,Arjun Mehta,B23CS3590,occupied
292,Rohit Reddy,B23CS3591,occupied
293,Nisha Saxena,B23CS3592,occupied
294,Meera Kapoor,B23CS3593,occupied
295,,,available
296,,,available
297,Kabir Verma,B23CS3596,occupied
298,Vikram Yadav,B23CS3597,occupied
299,Ravi Iyer,B23CS3598,occupied
300,,,available
