Room No,Name,Roll No,Status
101,,,available
102,,,available
103,,,available
104,,,available
105,Arjun Das,B23CS3804,occupied
106,Kabir Kumar,B23CS3805,occupied
107,Aman Thakur,B23CS3806,occupied
108,Anjali Jain,B23CS3807,occupied
109,,,available
110,Divya Kapoor,B23CS3809,occupied
111,Arjun Chopra,B23CS3810,occupied
112,,,available
113,,,available
114,,,available
115,Meera Yadav,B23CS3814,occupied
116,,,available
117,,,available
118,,,available
119,,,available
120,,,available
121,,,available
122,,,available
123,Aarav Iyer,B23CS3822,occupied
124,,,available
125,Ishaan Iyer,B23CS3824,occupied
126,Rohit Patel,B23CS3825,occupied
127,,,available
128,Riya Aggarwal,B23CS3827,occupied
129,,,available
130,Riya Nambiar,B23CS3829,occupied
131,Rohit Patel,B23CS3830,occupied
132,Vikram Singh,B23CS3831,occupied
133,Shreya Verma,B23CS3832,occupied
134,,,available
135,,,available
136,Anjali Gupta,B23CS3835,occupied
137,Kiran Reddy,B23CS3836,occupied
138,,,available
139,Shreya Chopra,B23CS3838,occupied
140,Vikram Kapoor,B23CS3839,occupied
141,,,available
142,,,available
143,,,available
144,,,available
145,,,available
146,,,available
147,,,available
148,Rohan Yadav,B23CS3847,occupied
149,Aman Das,B23CS3848,occupied
150,Shreya Saxena,B23CS3849,occupied
151,Ishaan Nambiar,B23CS3850,occupied
152,Kiran Kapoor,B23CS3851,occupied
153,Riya Menon,B23CS3852,occupied
154,,,available
155,,,available
156,Vikram Patel,B23CS3855,occupied
157,,,available
158,,,available
159,Sneha Saxena,B23CS3858,occupied
160,Kiran Sharma,B23CS3859,occupied
161,,,available
162,,,available
163,Aman Jain,B23CS3862,occupied
164,,,available
165,,,available
166,,,available
167,Riya Gupta,B23CS3866,occupied
168,Riya Nambiar,B23CS3867,occupied
169,,,available
170,Rohit Iyer,B23CS3869,occupied
171,,,available
172,Riya Das,B23CS3871,occupied
173,Kabir Gupta,B23CS3872,occupied
174,Meera Jain,B23CS3873,occupied
175,Shreya Jain,B23CS3874,occupied
176,Vikram Jain,B23CS3875,occupied
177,Riya Saxena,B23CS3876,occupied
178,,,available
179,Rohan Verma,B23CS3878,occupied
180,Riya Sharma,B23CS3879,occupied
