Room No,Name,Roll No,Status
101,Shreya Verma,B23CS3600,occupied
102,Rohit Aggarwal,B23CS3601,occupied
103,Rahul Reddy,B23CS3602,occupied
104,,,available
105,,,available
106,Riya Jain,B23CS3605,occupied
107,,,available
108,,,available
109,,,available
110,,,available
111,Sneha Thakur,B23CS3610,occupied
112,,,available
113,Sakshi Kapoor,B23CS3612,occupied
114,Kabir Reddy,B23CS3613,occupied
115,,,available
116,,,available
117,,,available
118,,,available
119,,,available
120,Nisha Kapoor,B23CS3619,occupied
121,Kabir Sharma,B23CS3620,occupied
122,,,available
123,Sakshi Jain,B23CS3622,occupied
124,Divya Sharma,B23CS3623,occupied
125,,,available
126,Nisha Nambiar,B23CS3625,occupied
127,,,available
128,,,available
129,,,available
130,,,available
131,Ishaan Sharma,B23CS3630,occupied
132,Nisha Das,B23CS3631,occupied
133,,,available
134,Divya Nambiar,B23CS3633,occupied
135,Rahul Nair,B23CS3634,occupied
136,Ravi Kumar,B23CS3635,occupied
137,,,available
138,Divya Nair,B23CS3637,occupied
139,Aarav Das,B23CS3638,occupied
140,Aarav Yadav,B23CS3639,occupied
141,Nisha Mehta,B23CS3640,occupied
142,Aarav Das,B23CS3641,occupied
143,Vikram Menon,B23CS3642,occupied
144,Riya Singh,B23CS3643,occupied
145,,,available
146,,,available
147,Rohit Nambiar,B23CS3646,occupied
148,,,available
149,Rohan Jain,B23CS3648,occupied
150,Rahul Nambiar,B23CS3649,occupied
151,,,available
152,Ishaan Gupta,B23CS3651,occupied
153,,,available
154,,,available
155,Vikram Das,B23CS3654,occupied
156,,,available
157,Vikram Chopra,B23CS3656,occupied
158,Nisha Saxena,B23CS3657,occupied
159,,,available
160,Divya Mehta,B23CS3659,occupied
161,,,available
162,,,available
163,,,available
164,Kabir Verma,B23CS3663,occupied
165,,,available
166,,,available
167,,,available
168,,,available
169,Aman Chopra,B23CS3668,occupied
170,,,available
171,,,available
172,,,available
173,,,available
174,Riya Kapoor,B23CS3673,occupied
175,,,available
176,Riya Mehta,B23CS3675,occupied
177,,,available
178,,,available
179,,,available
180,,,available
181,,,available
182,Divya Chopra,B23CS3681,occupied
183,,,available
184,Arjun Kumar,B23CS3683,occupied
185,,,available
186,,,available
187,Divya Patel,B23CS3686,occupied
188,,,available
189,,,available
190,Divya Aggarwal,B23CS3689,occupied
191,Meera Menon,B23CS3690,occupied
192,,,available
193,,,available
194,Sakshi Das,B23CS3693,occupied
195,Sakshi Jain,B23CS3694,occupied
196,Anjali Yadav,B23CS3695,occupied
197,,,available
198,Rohan Nair,B23CS3697,occupied
199,,,available
200,Ishaan Chopra,B23CS3699,occupied
201,,,available
202,Arjun Saxena,B23CS3701,occupied
203,,,available
204,,,available
205,,,available
206,,,available
207,,,available
208,Riya Chopra,B23CS3707,occupied
209,,,available
210,,,available
211,Kabir Thakur,B23CS3710,occupied
212,Sakshi Sharma,B23CS3711,occupied
213,Shreya Nambiar,B23CS3712,occupied
214,,,available
215,,,available
216,,,available
217,Aman Gupta,B23CS3716,occupied
218,,,available
219,,,available
220,,,available
221,Ishaan Nair,B23CS3720,occupied
222,,,available
223,Aarav Thakur,B23CS3722,occupied
224,,,available
225,,,available
226,Ishaan Kumar,B23CS3725,occupied
227,Rohit Iyer,B23CS3726,occupied
228,Rohit Nair,B23CS3727,occupied
229,Priya Menon,B23CS3728,occupied
230,,,available
231,,,available
232,Anjali Verma,B23CS3731,occupied
233,,,available
234,,,available
235,Meera Jain,B23CS3734,occupied
236,Aarav Reddy,B23CS3735,occupied
237,,,available
238,Riya Mehta,B23CS3737,occupied
239,Rohit Aggarwal,B23CS3738,occupied
240,Arjun Sharma,B23CS3739,occupied
241,Arjun Patel,B23CS3740,occupied
242,,,available
243,,,available
244,,,available
245,Rohan Chopra,B23CS3744,occupied
246,,,available
247,,,available
248,Riya Sharma,B23CS3747,occupied
249,,,available
250,,,available
251,,,available
252,Aman Nambiar,B23CS3751,occupied
253,Rahul Yadav,B23CS3752,occupied
254,,,available
255,,,available
256,Riya Jain,B23CS3755,occupied
257,,,available
258,Nisha Nambiar,B23CS3757,occupied
259,Priya Mehta,B23CS3758,occupied
260,,,available
261,,,available
262,Rohan Jain,B23CS3761,occupied
263,Rohan Yadav,B23CS3762,occupied
264,,,available
265,Vikram Nambiar,B23CS3764,occupied
266,Anjali Kapoor,B23CS3765,occupied
267,Sakshi Gupta,B23CS3766,occupied
268,Ishaan Gupta,B23CS3767,occupied
269,Sakshi Yadav,B23CS3768,occupied
270,Sneha Kapoor,B23CS3769,occupied
271,,,available
272,Divya Reddy,B23CS3771,occupied
273,,,available
274,,,available
275,Aarav Mehta,B23CS3774,occupied
276,Vikram Gupta,B23CS3775,occupied
277,,,available
278,Shreya Saxena,B23CS3777,occupied
279,Sneha Thakur,B23CS3778,occupied
280,,,available
281,,,available
282,,,available
283,Meera Patel,B23CS3782,occupied
284,Divya Iyer,B23CS3783,occupied
285,Riya Gupta,B23CS3784,occupied
286,Vikram Nambiar,B23CS3785,occupied
287,Sakshi Yadav,B23CS3786,occupied
288,,,available
289,Riya Kumar,B23CS3788,occupied
290,,,available
291,,,available
292,Rohit Iyer,B23CS3791,occupied
293,,,available
294,,,available
295,,,available
296,,,available
297,,,available
298,,,available
299,Rohan Nambiar,B23CS3798,occupied
300,,,available
