Room No,Name,Roll No,Status
101,Rohan Mehta,B23CS2800,occupied
102,,,available
103,Vikram Reddy,B23CS2802,occupied
104,,,available
105,,,available
106,Ishaan Thakur,B23CS2805,occupied
107,Aman Kapoor,B23CS2806,occupied
108,,,available
109,,,available
110,,,available
111,Aarav Saxena,B23CS2810,occupied
112,Shreya Saxena,B23CS2811,occupied
113,,,available
114,,,available
115,,,available
116,Rohit Menon,B23CS2815,occupied
117,,,available
118,Anjali Nambiar,B23CS2817,occupied
119,Rohit Nair,B23CS2818,occupied
120,Aman Reddy,B23CS2819,occupied
121,,,available
122,,,available
123,,,available
124,Rohit Menon,B23CS2823,occupied
125,Sneha Singh,B23CS2824,occupied
126,,,available
127,,,available
128,,,available
129,,,available
130,Sneha Reddy,B23CS2829,occupied
131,Kabir Verma,B23CS2830,occupied
132,,,available
133,,,available
134,Ravi Reddy,B23CS2833,occupied
135,,,available
136,,,available
137,Riya Chopra,B23CS2836,occupied
138,Rohan Nambiar,B23CS2837,occupied
139,,,available
140,Riya Menon,B23CS2839,occupied
141,,,available
142,,,available
143,,,available
144,,,available
145,Shreya Thakur,B23CS2844,occupied
146,Rahul Chopra,B23CS2845,occupied
147,,,available
148,Sakshi Nambiar,B23CS2847,occupied
149,Nisha Gupta,B23CS2848,occupied
150,,,available
151,Anjali Nambiar,B23CS2850,occupied
152,Arjun Reddy,B23CS2851,occupied
153,,,available
154,Ravi Aggarwal,B23CS2853,occupied
155,,,available
156,Rohit Saxena,B23CS2855,occupied
157,Meera Yadav,B23CS2856,occupied
158,Meera Singh,B23CS2857,occupied
159,Shreya Jain,B23CS2858,occupied
160,,,available
161,,,available
162,Kiran Kumar,B23CS2861,occupied
163,Sneha Jain,B23CS2862,occupied
164,,,available
165,,,available
166,Sneha Nambiar,B23CS2865,occupied
167,,,available
168,Rohan Singh,B23CS2867,occupied
169,Nisha Iyer,B23CS2868,occupied
170,Kiran Thakur,B23CS2869,occupied
171,,,available
172,,,available
173,Aarav Patel,B23CS2872,occupied
174,,,available
175,Shreya Jain,B23CS2874,occupied
176,Ravi Singh,B23CS2875,occupied
177,Divya Chopra,B23CS2876,occupied
178,Nisha Kumar,B23CS2877,occupied
179,,,available
180,Riya Aggarwal,B23CS2879,occupied
181,,,available
182,Riya Sharma,B23CS2881,occupied
183,,,available
184,,,available
185,Kiran Sharma,B23CS2884,occupied
186,,,available
187,Sakshi Iyer,B23CS2886,occupied
188,Rohit Iyer,B23CS2887,occupied
189,,,available
190,Aarav Chopra,B23CS2889,occupied
191,,,available
192,,,available
193,Nisha Das,B23CS2892,occupied
194,,,available
195,,,available
196,,,available
197,,,available
198,,,available
199,Kiran Nambiar,B23CS2898,occupied
200,,,available
201,,,available
202,Meera Nair,B23CS2901,occupied
203,Rahul Iyer,B23CS2902,occupied
204,Riya Kapoor,B23CS2903,occupied
205,Shreya Jain,B23CS2904,occupied
206,Rohit Iyer,B23CS2905,occupied
207,,,available
208,,,available
209,Ishaan Jain,B23CS2908,occupied
210,,,available
211,,,available
212,Kiran Menon,B23CS2911,occupied
213,,,available
214,,,available
215,,,available
216,Aarav Singh,B23CS2915,occupied
217,,,available
218,,,available
219,,,available
220,,,available
221,,,available
222,Sakshi Patel,B23CS2921,occupied
223,,,available
224,Kiran Verma,B23CS2923,occupied
225,Divya Nair,B23CS2924,occupied
226,,,available
227,Rahul Kumar,B23CS2926,occupied
228,,,available
229,,,available
230,,,available
231,,,available
232,Priya Sharma,B23CS2931,occupied
233,Kabir Yadav,B23CS2932,occupied
234,,,available
235,,,available
236,Nisha Singh,B23CS2935,occupied
237,,,available
238,Kabir Reddy,B23CS2937,occupied
239,Meera Yadav,B23CS2938,occupied
240,Ishaan Verma,B23CS2939,occupied
241,Sneha Iyer,B23CS2940,occupied
242,,,available
243,Meera Mehta,B23CS2942,occupied
244,Arjun Thakur,B23CS2943,occupied
245,,,available
246,Ishaan Saxena,B23CS2945,occupied
247,,,available
248,Rohan Verma,B23CS2947,occupied
249,Priya Thakur,B23CS2948,occupied
250,Kiran Saxena,B23CS2949,occupied
251,Kiran Aggarwal,B23CS2950,occupied
252,,,available
253,,,available
254,,,available
255,Nisha Iyer,B23CS2954,occupied
256,Kiran Chopra,B23CS2955,occupied
257,Sneha Nair,B23CS2956,occupied
258,Ravi Singh,B23CS2957,occupied
259,,,available
260,,,available
261,,,available
262,,,available
263,Rahul Das,B23CS2962,occupied
264,Rohan Nambiar,B23CS2963,occupied
265,,,available
266,,,available
267,,,available
268,,,available
269,Sakshi Kapoor,B23CS2968,occupied
270,,,available
271,Nisha Singh,B23CS2970,occupied
272,Meera Sharma,B23CS2971,occupied
273,Sneha Nair,B23CS2972,occupied
274,Arjun Kumar,B23CS2973,occupied
275,Nisha Singh,B23CS2974,occupied
276,,,available
277,Sakshi Singh,B23CS2976,occupied
278,Arjun Saxena,B23CS2977,occupied
279,,,available
280,,,available
281,,,available
282,,,available
283,Kabir Das,B23CS2982,occupied
284,,,available
285,,,available
286,Rahul Sharma,B23CS2985,occupied
287,Rahul Singh,B23CS2986,occupied
288,Nisha Iyer,B23CS2987,occupied
289,Anjali Nair,B23CS2988,occupied
290,Anjali Iyer,B23CS2989,occupied
291,,,available
292,,,available
293,,,available
294,,,available
295,,,available
296,Shreya Thakur,B23CS2995,occupied
297,Rohan Reddy,B23CS2996,occupied
298,,,available
299,Aarav Chopra,B23CS2998,occupied
300,Shreya Kumar,B23CS2999,occupied
